team_name_norm,opponent_norm,last5_avg_score,last5_win_rate,last3_win_rate,win_streak,days_rest,h2h_win_rate,venue_win_rate,cum_wins_before_match,ladder_rank_before_match
hawthorn hawks,north melbourne kangaroos,105.0,0.8,0.6666666666666666,2,8.0,0.6,0.5689655172413793,17.0,1.0
hawthorn hawks,port adelaide power,77.4,0.4,0.3333333333333333,-1,6.0,0.5,0.7627118644067796,4.0,6.0
hawthorn hawks,richmond tigers,85.8,0.8,1.0,3,7.0,0.3846153846153846,0.5737179487179487,6.0,3.0
hawthorn hawks,st kilda saints,95.8,0.8,1.0,4,7.0,0.6,0.5945945945945946,13.0,1.0
hawthorn hawks,sydney swans,67.6,0.0,0.0,-5,13.0,0.4444444444444444,0.5,2.0,2.0
hawthorn hawks,west coast eagles,73.8,0.2,0.3333333333333333,1,7.0,0.5,0.5912162162162162,5.0,4.0
hawthorn hawks,western bulldogs,62.6,0.2,0.0,-3,6.0,0.5454545454545454,0.5517241379310345,1.0,9.0
melbourne demons,adelaide crows,71.6,0.6,0.6666666666666666,2,9.0,0.5,0.4790794979079498,11.0,1.0
melbourne demons,brisbane bears,78.4,0.0,0.0,-7,9.0,,0.5294117647058824,0.0,4.0
melbourne demons,brisbane lions,91.4,0.6,0.3333333333333333,1,6.0,0.2857142857142857,0.4615384615384615,1.0,1.0
melbourne demons,carlton blues,96.0,0.6,0.3333333333333333,-2,6.0,0.5,0.4757894736842105,7.0,1.0
melbourne demons,collingwood magpies,85.0,0.6,0.6666666666666666,1,7.0,0.3333333333333333,0.4731182795698925,14.0,1.0
melbourne demons,essendon bombers,83.8,0.4,0.6666666666666666,2,8.0,0.3,0.5073529411764706,11.0,2.0
melbourne demons,fitzroy lions,111.8,0.6,0.6666666666666666,1,7.0,0.3333333333333333,0.5462184873949579,10.0,4.0
melbourne demons,fremantle dockers,55.6,0.6,0.6666666666666666,2,182.0,0.6666666666666666,0.4629213483146067,0.0,1.0
melbourne demons,geelong cats,95.6,1.0,1.0,5,13.0,0.4285714285714285,0.4,18.0,1.0
melbourne demons,gold coast suns,68.6,0.2,0.0,-4,7.0,,0.4705882352941176,10.0,6.0
melbourne demons,greater western sydney giants,67.6,0.4,0.6666666666666666,-1,10.0,1.0,0.5,9.0,1.0
melbourne demons,hawthorn hawks,105.6,0.8,1.0,3,7.0,0.6666666666666666,0.4756871035940803,6.0,1.0
